N_bulk,Avg_bulk,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,FCC,HCP,ICOS,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+
97,12.3402,0,0,0,0,0,0,0,0,0,0,0,1,64,30,2,0,0,0,0,0,0,22,26,0,4,10.0619,0,1,2,0,1,1,2,7,12,10,5,14,35,7,0,0,0,0,0,0,0,0
97,12.2165,0,0,0,0,0,0,0,0,0,0,0,2,72,23,0,0,0,0,0,0,0,28,25,0,3,10.0103,0,1,3,1,0,1,0,1,24,3,10,14,31,8,0,0,0,0,0,0,0,0
99,12.5556,0,0,0,0,0,0,0,0,0,0,0,3,46,43,6,1,0,0,0,0,0,2,10,0,5,4.4242,11,7,12,13,11,13,6,6,10,5,2,1,1,1,0,0,0,0,0,0,0,0
100,12.25,0,0,0,0,0,0,0,0,0,0,0,1,74,24,1,0,0,0,0,0,0,28,28,0,5,10.61,0,1,1,2,1,0,0,0,17,4,5,12,47,10,0,0,0,0,0,0,0,0
103,12.6505,0,0,0,0,0,0,0,0,0,0,0,4,39,50,9,1,0,0,0,0,0,13,2,0,0,9.4369,3,2,0,2,4,8,6,3,4,8,7,12,27,17,0,0,0,0,0,0,0,0
105,12.7905,0,0,0,0,0,0,0,0,0,0,0,2,34,53,16,0,0,0,0,0,0,5,3,0,0,7.6381,4,3,2,6,8,5,5,15,11,9,13,8,11,4,1,0,0,0,0,0,0,0
108,12.5,0,0,0,0,0,0,0,0,0,0,0,8,48,42,10,0,0,0,0,0,0,3,13,0,5,4.7315,11,13,11,13,9,9,7,7,11,6,5,1,4,0,1,0,0,0,0,0,0,0
110,12.7545,0,0,0,0,0,0,0,0,0,0,0,2,40,51,17,0,0,0,0,0,0,4,2,0,1,6.4636,8,8,6,8,7,7,9,13,5,9,8,12,5,4,1,0,0,0,0,0,0,0
115,12.2957,0,0,0,0,0,0,0,0,0,0,0,0,85,26,4,0,0,0,0,0,0,62,5,0,0,11.113,1,0,0,1,0,1,5,3,2,4,4,13,69,12,0,0,0,0,0,0,0,0
118,12.4322,0,0,0,0,0,0,0,0,0,0,1,3,65,43,5,1,0,0,0,0,0,4,23,0,8,4.9407,8,15,14,13,7,9,11,7,19,2,6,1,6,0,0,0,0,0,0,0,0,0
121,12.3719,0,0,0,0,0,0,0,0,0,0,0,3,75,38,5,0,0,0,0,0,0,39,5,0,0,11.438,0,0,0,1,0,1,0,1,4,4,11,15,68,14,2,0,0,0,0,0,0,0
122,12.3607,0,0,0,0,0,0,0,0,0,0,0,3,76,39,4,0,0,0,0,0,0,8,31,0,7,5.3033,5,14,15,13,9,10,8,12,13,7,5,3,8,0,0,0,0,0,0,0,0,0
116,12.8793,0,0,0,0,0,0,0,0,0,0,0,0,35,61,19,1,0,0,0,0,0,14,5,0,1,11.6638,0,0,1,0,2,1,1,4,3,3,3,13,36,38,11,0,0,0,0,0,0,0
111,12.3964,0,0,0,0,0,0,0,0,0,0,0,3,67,35,6,0,0,0,0,0,0,18,26,0,4,8.8198,0,2,5,3,4,5,9,6,14,9,11,8,26,8,1,0,0,0,0,0,0,0
130,12.1769,0,0,0,0,0,0,0,0,0,0,0,1,105,24,0,0,0,0,0,0,0,92,0,0,0,12.1154,0,0,0,0,0,0,0,0,0,0,0,5,105,20,0,0,0,0,0,0,0,0
130,12.2385,0,0,0,0,0,0,0,0,0,0,0,1,98,30,1,0,0,0,0,0,0,67,0,0,0,11.9692,0,0,0,0,1,0,0,0,1,0,2,9,97,19,1,0,0,0,0,0,0,0
147,12.0884,0,0,0,0,0,0,0,0,0,0,0,2,131,13,1,0,0,0,0,0,0,14,63,1,26,6.1633,1,8,15,11,29,5,5,8,36,6,5,2,14,2,0,0,0,0,0,0,0,0
138,12.5072,0,0,0,0,0,0,0,0,0,0,0,4,68,58,8,0,0,0,0,0,0,6,10,0,2,5.5,9,10,12,12,13,13,15,13,15,7,7,7,4,1,0,0,0,0,0,0,0,0
145,12.3448,0,0,0,0,0,0,0,0,0,0,0,1,99,39,6,0,0,0,0,0,0,9,39,0,20,5.1586,5,22,20,9,19,11,2,9,19,11,5,4,9,0,0,0,0,0,0,0,0,0
146,12.0959,0,0,0,0,0,0,0,0,0,0,0,1,131,13,1,0,0,0,0,0,0,52,43,0,6,10.7397,0,2,2,2,0,0,0,0,22,4,9,11,89,5,0,0,0,0,0,0,0,0
142,12.2042,0,0,0,0,0,0,0,0,0,0,0,0,117,21,4,0,0,0,0,0,0,41,41,0,6,10.6408,0,1,3,3,0,0,3,2,19,4,6,10,80,9,2,0,0,0,0,0,0,0
